ZONE T="boundary0"
-4 -0.305792 
-4 -0.242254 
-4 0.266453 
-4 0.325301 
-4 0.401119 
-4 0.444958 
-4 -0.178716 
-4 -0.117056 
-4 0.788237 
-4 1 
-4 -0.78455 
-4 -1 
-4 0.205736 
-4 0.14502 
-4 -0.389617 
-4 0.488796 
-4 0.576474 
-4 0.682355 
-4 -0.0553966 
-4 -0.5691 
-4 0.0448117 
-4 -0.274023 
-4 0.295877 
-4 0.36321 
-4 0.423038 
-4 -0.147886 
-4 -0.892275 
-4 0.175378 
-4 -0.210485 
-4 -0.347704 
-4 0.466877 
-4 0.532635 
-4 0.735296 
-4 0.629415 
-4 -0.0862263 
-4 -0.479358 
-4 0.894118 
-4 -0.676825 
-4 0.236094 
-4 0.0949158 
-4 -0.00529246 
ZONE T="boundary1"
1.67006 1 
1.58553 1 
-0.0258162 1 
0.0436563 1 
0.4413 1 
0.536727 1 
-0.508468 1 
-0.0952886 1 
0.345872 1 
-3.38612 1 
-3.69306 1 
3.72119 1 
3.44237 1 
1.2935 1 
1.19615 1 
-4 1 
-2.22794 1 
1.48819 1 
-3.03966 1 
-3.21289 1 
-2.86643 1 
-2.69319 1 
-2.46057 1 
-1.49903 1 
-1.80117 1 
-1.94342 1 
1.92366 1 
-0.248751 1 
-0.311946 1 
0.110235 1 
0.261343 1 
0.176814 1 
-0.17202 1 
-0.37514 1 
0.646174 1 
0.869532 1 
-0.610712 1 
-0.712955 1 
0.983443 1 
0.755621 1 
1.0898 1 
-0.882959 1 
-0.991508 1 
-1.10006 1 
-1.2196 1 
-1.33914 1 
-1.65891 1 
-1.41908 1 
3.24033 1 
2.68752 1 
3.0383 1 
2.86291 1 
2.12812 1 
2.33259 1 
1.7546 1 
1.39084 1 
2.51006 1 
4 1 
1.6278 1 
0.00892005 1 
0.489014 1 
-3.53959 1 
3.58178 1 
1.24483 1 
-3.84653 1 
1.53686 1 
-3.12628 1 
-2.95304 1 
-2.34425 1 
-1.87229 1 
-2.08568 1 
-0.280349 1 
0.0769458 1 
0.219079 1 
-0.133654 1 
-0.343543 1 
0.143525 1 
0.303608 1 
-0.441804 1 
-0.661834 1 
-0.55959 1 
0.926487 1 
0.812576 1 
0.700897 1 
1.14298 1 
-0.937234 1 
-0.797957 1 
-1.04578 1 
-1.27937 1 
-1.57897 1 
-1.45906 1 
0.591451 1 
2.9506 1 
2.77522 1 
3.13932 1 
3.34135 1 
1.03662 1 
-2.77981 1 
-3.29951 1 
-1.73004 1 
